,Unnamed: 0,epoch,iteration,mode,accuracy,loss,loss_classification,earliness_reward,lr,mean_accuracy,mean_recall,mean_precision,mean_f1,kappa,earliness
0,0,1,,train,0.38779424585876204,7.6741776,7.676195599999999,0.0020183928,0.00075,0.14209922768801073,0.14209922768801073,0.14101981729453308,0.1288089741881104,1.4364908938553055e-05,1.0
2,2,2,,train,0.4814298169136879,7.0554395,7.0578713,0.002431189,0.0015,0.1429798305154025,0.1429798305154025,0.10961509014702836,0.09320788035996534,0.0004660439171305836,1.0
4,4,3,,train,0.4819529206625981,6.931494,6.933834599999999,0.0023399239999999997,0.0022500000000000003,0.14595686991816753,0.14595686991816753,0.10009443350483796,0.1007421039626224,0.01364333797508628,1.0
6,6,4,,train,0.5218831734960767,6.576203,6.579089999999999,0.0028868403999999996,0.003,0.2223864565340765,0.2223864565340765,0.1533427175669356,0.16918449547661124,0.24917211535252434,1.0
8,8,5,,train,0.5201394943330427,6.639946000000001,6.642709700000001,0.0027642473999999998,0.00375,0.21347911558497776,0.21347911558497776,0.12900741428348175,0.15947091239046918,0.2292725929003529,0.9998466968536376
10,10,6,,train,0.5443766346992154,6.2960925,6.299216,0.0031228124,0.0045000000000000005,0.24000928692837745,0.24000928692837745,0.15509704014089246,0.17366580777669774,0.3064544117804619,0.999938666820526
12,12,7,,train,0.5431560592850916,6.1326785,6.136711599999999,0.0040343725,0.00525,0.2458527970480161,0.2458527970480161,0.17435401467706566,0.2006318388937059,0.3139761409962868,0.9965389370918274
14,14,8,,train,0.5661726242371403,5.930259700000001,5.961347,0.031086875,0.006,0.2518593682030636,0.2518593682030636,0.3507346560483982,0.19665346841121187,0.3343275335006049,0.9061350226402284
16,16,9,,train,0.4959895379250218,6.3385050000000005,6.484411,0.14590642,0.006014065304058602,0.17188637676991125,0.17188637676991125,0.19184893734883546,0.14576999168546229,0.08593424843108616,0.2441393733024597
18,18,10,,train,0.4822144725370532,5.879928,6.064964,0.18503638,0.00570544330734548,0.1439171555128779,0.1439171555128779,0.16531500401057414,0.09518998735975076,0.0034304822981027364,0.0382595993578434
20,20,11,,train,0.4848299912816042,5.666085,5.853190000000001,0.18710421,0.005439926748615558,0.1465954925186828,0.1465954925186828,0.3225474596819068,0.10060521884893846,0.011431278881471928,0.048115018755197525
22,22,12,,train,0.5266782911944202,5.395622299999999,5.5534077,0.15778528,0.005208333333333333,0.2040925068512425,0.2040925068512425,0.2531958790962617,0.19077922583756607,0.1698397610975783,0.29173481464385986
24,24,13,,train,0.5981691368788143,5.338093,5.4554386,0.117345355,0.005004004806408973,0.2979178879256675,0.2979178879256675,0.2535461199945008,0.2626348918968696,0.3785202241206321,0.6955492496490479
26,26,14,,train,0.6173496076721883,5.053514,5.1874166,0.13390274,0.004821979686315372,0.33622904694021233,0.33622904694021233,0.3251873267992661,0.3207075131468144,0.4186832163871331,0.6677570343017578
28,28,15,,train,0.6383609415867479,4.980352,5.111381,0.13102938,0.004658474953124562,0.3643494786794899,0.3643494786794899,0.367533420774988,0.3565377779937683,0.4511158655308421,0.68382328748703
30,30,16,,train,0.6734088927637315,4.8704057,5.0028415,0.13243595,0.004510548978043951,0.4082173241472774,0.4082173241472774,0.4087967099884269,0.4017589279515929,0.5035937177356026,0.6870908141136169
32,32,17,,train,0.6850915431560592,4.7370779999999995,4.871134,0.1340556,0.004375875262587529,0.42159434086575054,0.42159434086575054,0.4102091280191618,0.40817276404676706,0.5232881624518265,0.6863910555839539
34,34,18,,train,0.7034001743679164,4.553948999999999,4.6878695,0.13392065,0.004252586358998572,0.4508730497756353,0.4508730497756353,0.4313131648044631,0.43593217875191054,0.5541270393097478,0.6997125148773193
36,36,19,,train,0.7190061028770707,4.457193,4.5890913,0.13189869,0.004139163615828262,0.4717389388345361,0.4717389388345361,0.5900649152440861,0.4564812285228043,0.5798143733388713,0.7087929248809814
38,38,20,,train,0.7235396687009591,4.4244494,4.561644599999999,0.13719513,0.004034357652299393,0.4789934544777469,0.4789934544777469,0.4540824496650446,0.4639227511991343,0.5873347468108115,0.699851930141449
40,40,21,,train,0.7280732345248474,4.3823943,4.521979,0.13958463,0.0039371299271794506,0.4877900942050374,0.4877900942050374,0.4607584710131135,0.4703608984740435,0.5941174449763996,0.6982670426368713
42,42,22,,train,0.7325196163905842,4.375619400000001,4.5136065,0.13798746,0.0038466090931041476,0.4957128953405217,0.4957128953405217,0.4653879983549408,0.4790345595340001,0.6016095580847585,0.6968526244163513
44,44,23,,train,0.7324324324324324,4.352728,4.486807,0.13407941,0.0037620579089302883,0.4972290986748821,0.4972290986748821,0.6075338720562745,0.4782567785153602,0.602898511029181,0.7088705897331238
46,46,24,,train,0.7378378378378379,4.236036,4.3781834,0.14214785,0.003682847818679935,0.5000395781792264,0.5000395781792264,0.6161254008531286,0.48560539923709994,0.6072498986618744,0.6887829303741455
48,48,25,,train,0.7404533565823889,4.2615905,4.40489,0.14329979999999998,0.003608439182435161,0.5049202776822102,0.5049202776822102,0.4733452643689654,0.4871119305848289,0.613503273381323,0.6901659965515137
50,50,26,,train,0.7380993897122929,4.2254615,4.363885400000001,0.13842390000000002,0.0035383657317018618,0.5031501234042779,0.5031501234042779,0.4668951783176977,0.483455741216074,0.6116088157621179,0.7052591443061829
52,52,27,,train,0.7410636442894507,4.213149,4.352624400000001,0.13947582,0.003472222222222222,0.5088611149707447,0.5088611149707447,0.5451987654825776,0.4905580468278662,0.6165834266309648,0.6997780799865723
54,54,28,,train,0.7584132519616391,4.062052700000001,4.203199,0.1411464,0.0034096545349373807,0.5340002851828709,0.5340002851828709,0.5884349508232961,0.5132890206353207,0.6432398024040933,0.7004039883613586
56,56,29,,train,0.7586748038360942,3.9986602999999996,4.14775,0.14908953,0.003350351671368109,0.5353096480260632,0.5353096480260632,0.5918950647492621,0.5143491634543087,0.6426729908228441,0.6854411959648132
58,58,30,,train,0.7571054925893635,4.0494704,4.193198000000001,0.14372717,0.0032940392293420613,0.5306198974247237,0.5306198974247237,0.6404498395956141,0.513855204645686,0.6391684698972673,0.6959335207939148
60,60,31,,train,0.7710549258936356,3.9646654000000003,4.111305000000001,0.14663969,0.003240474046032579,0.552112587025184,0.552112587025184,0.5699857050453715,0.5337893569581889,0.6611643130376551,0.6914031505584717
62,62,32,,train,0.7700087183958152,3.950536,4.100096,0.14956029,0.0031894397692489303,0.5514699800400527,0.5514699800400527,0.5856818975912554,0.534554864000159,0.6602652833133759,0.6804415583610535
64,64,33,,train,0.7772449869224063,3.9031324,4.048182,0.14504981,0.003140743172685038,0.5608503255226592,0.5608503255226592,0.5910300711831857,0.5447108029511957,0.6708268098726763,0.6975591778755188
66,66,34,,train,0.7786399302528335,3.855342,4.004430999999999,0.1490889,0.003094211071802107,0.5644993838354851,0.5644993838354851,0.61177781442099,0.5477555704722731,0.6729177065467811,0.6881187558174133
68,68,35,,train,0.7871839581517001,3.8056326,3.956583,0.15095079999999997,0.003049687727964166,0.5759280047026502,0.5759280047026502,0.6119113909405007,0.5604791905569892,0.6857282325460241,0.6813170909881592
70,70,36,,train,0.7849171752397559,3.8322422999999994,3.979943,0.14770111,0.003007032652029301,0.5706556262116752,0.5706556262116752,0.6125882045673456,0.5532228313741717,0.6820192220861291,0.6891460418701172
72,72,37,,train,0.7843068875326941,3.7615845,3.9154701000000003,0.15388502,0.0029661187367265593,0.5702508525723782,0.5702508525723782,0.5752547075111236,0.5504843652764608,0.6816609803946314,0.6784865260124207
74,74,38,,train,0.7851787271142109,3.7567775,3.9118797999999995,0.15510269,0.0029268306611927933,0.5700759616439439,0.5700759616439439,0.5904358128927759,0.5524599352623192,0.6830272425436665,0.6730914711952211
76,76,39,,train,0.7905841325196163,3.7428997,3.8905296000000003,0.14762966,0.002889063522006401,0.5821620045341719,0.5821620045341719,0.6077556207420182,0.5638336033146121,0.6918200799403742,0.6955700516700745
78,78,40,,train,0.7960767218831735,3.7327983000000002,3.8847654,0.15196668,0.00285272165367274,0.5899762693720078,0.5899762693720078,0.638962370362594,0.5732979771844899,0.6994474417923521,0.6811971664428711
80,80,41,,train,0.7931996512641674,3.7106687999999997,3.858389,0.1477197,0.0028177176083357264,0.5887547093954268,0.5887547093954268,0.6157241761264495,0.5743174333385432,0.6960829093648044,0.6933751702308655
82,82,42,,train,0.8001743679163034,3.6464519999999996,3.8008835,0.15443167,0.0027839712699210873,0.595139917961134,0.595139917961134,0.6291455564690811,0.5812711930283875,0.7049943598318223,0.6787570118904114
84,84,43,,train,0.8065387968613775,3.6326417999999996,3.7864256000000003,0.15378387,0.0027514090822675745,0.6068103744618687,0.6068103744618687,0.6348706154028961,0.5923408986689702,0.7157959921027872,0.6806337833404541
86,86,44,,train,0.8044463818657367,3.5585318,3.7165582,0.15802679999999997,0.002719963374307779,0.6020608783248511,0.6020608783248511,0.6456340005993303,0.5864228376814552,0.7120121884554378,0.6693339347839355
88,88,45,,train,0.8068003487358326,3.5756085,3.7334926,0.15788423,0.002689571768199595,0.6036554518142782,0.6036554518142782,0.6368580447495552,0.5914602736212389,0.7149464928605185,0.6754245162010193
90,90,46,,train,0.8064516129032258,3.5883076000000003,3.7484207,0.160113,0.002660176658621089,0.6026375018316404,0.6026375018316404,0.6476360607275767,0.5900354110950543,0.7143698471098967,0.6646409034729004
92,92,47,,train,0.8079337401918048,3.5022886,3.663274,0.16098554,0.002631724753332872,0.6074201039270035,0.6074201039270035,0.6463368816482944,0.590286632935924,0.7175321920938178,0.6678944230079651
94,94,48,,train,0.8055797733217088,3.5609362,3.7197492,0.15881289999999998,0.0026041666666666665,0.6019253058816741,0.6019253058816741,0.6383447648195473,0.5880346377583515,0.7138269755072182,0.6695394515991211
96,96,49,,train,0.8074106364428945,3.5413464999999995,3.7019722,0.16062586,0.002577456558882258,0.6047231126755588,0.6047231126755588,0.6438325968926654,0.5902129705487279,0.7162144255241217,0.6671900153160095
98,98,50,,train,0.8144725370531822,3.4806788,3.6446152,0.16393669,0.002551551815399144,0.6172679286446078,0.6172679286446078,0.6600183682244408,0.6027733516336315,0.7273498165940218,0.661086916923523
100,100,51,,train,0.8161290322580645,3.4295454,3.5918398000000002,0.16229399,0.0025264127607951352,0.6204285073209491,0.6204285073209491,0.6601486924799519,0.6050732976564227,0.7298339067262833,0.665637195110321
102,102,52,,train,0.8147340889276373,3.4838164,3.6457646,0.16194822,0.0025020024032044864,0.6180424785083781,0.6180424785083781,0.8009340989944441,0.6053855655846371,0.7272667804935405,0.6643500924110413
104,104,53,,train,0.8193548387096774,3.3908541,3.5539992,0.16314487,0.0024782862053692005,0.6258874537399387,0.6258874537399387,0.6648675719197035,0.6096319127515797,0.7352697026844652,0.6643438935279846
106,106,54,,train,0.8205754141238012,3.3574142,3.5191882000000003,0.16177453,0.0024552318791199565,0.6254745625751672,0.6254745625751672,0.6623757627057014,0.6122573655228588,0.7362783906927195,0.6690502762794495
108,108,55,,train,0.8255448997384481,3.3871384,3.5485248999999994,0.16138627,0.002432809200504759,0.6384032775784252,0.6384032775784252,0.6623974487761289,0.6239278419430468,0.7449259462424574,0.668008029460907
110,110,56,,train,0.8258064516129032,3.3516476,3.5154292999999996,0.16378136,0.002410989843157686,0.6350874029632441,0.6350874029632441,0.7373917877352671,0.6249257575358776,0.7438109982297776,0.6619561314582825
112,112,57,,train,0.818308631211857,3.3965547,3.5618019999999997,0.1652475,0.002389747227818352,0.6235974091118706,0.6235974091118706,0.7129698701952749,0.6172281401300195,0.7325857534444513,0.658173143863678
114,114,58,,train,0.8190061028770707,3.3678019999999997,3.532977,0.16517521,0.002369056386184073,0.6301198556476643,0.6301198556476643,0.7103774411524475,0.6213224674879808,0.7350245668231679,0.6572734713554382
116,116,59,,train,0.8274629468177855,3.2882252,3.4539356,0.16571037,0.00234889383750884,0.6453108168458765,0.6453108168458765,0.7400892700906051,0.6398436149243535,0.7474537157540929,0.6609548926353455
118,118,60,,train,0.8231037489102005,3.2961571000000003,3.46297,0.16681294,0.002329237476562281,0.6385390796922155,0.6385390796922155,0.7343832586935642,0.6282390092682977,0.7422037521985808,0.6612247824668884
