epoch,meadows,winter barley,corn,winter wheat,summer barley,clover,winter triticale
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,0.42857142857142855,1.0,1.0,1.0,1.0,0.44285714285714284,1.0
40,0.4714285714285714,1.0,1.0,1.0,1.0,0.5,1.0
41,0.45714285714285713,1.0,1.0,1.0,1.0,0.4857142857142857,1.0
42,0.5285714285714286,1.0,1.0,1.0,1.0,0.5,1.0
43,0.5285714285714286,1.0,1.0,1.0,1.0,0.5285714285714286,1.0
44,0.4714285714285714,1.0,1.0,1.0,1.0,0.4857142857142857,1.0
45,0.5,1.0,1.0,1.0,1.0,0.5,1.0
46,0.5142857142857142,1.0,1.0,1.0,1.0,0.5,1.0
47,0.4857142857142857,1.0,1.0,1.0,1.0,0.4857142857142857,1.0
48,0.5285714285714286,0.44285714285714284,1.0,1.0,1.0,0.5142857142857142,1.0
49,0.4857142857142857,0.45714285714285713,1.0,1.0,1.0,0.5,1.0
50,0.5285714285714286,0.5,1.0,1.0,1.0,0.5285714285714286,1.0
51,0.5142857142857142,0.4857142857142857,1.0,1.0,1.0,0.5,1.0
52,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,0.45714285714285713,1.0
53,0.4857142857142857,0.42857142857142855,1.0,1.0,1.0,0.4857142857142857,1.0
54,0.4714285714285714,0.42857142857142855,1.0,1.0,1.0,0.4714285714285714,1.0
55,0.5285714285714286,0.55,1.0,0.6142857142857143,1.0,0.5285714285714286,1.0
56,0.5142857142857142,0.42857142857142855,1.0,0.6142857142857143,0.6142857142857143,0.5142857142857142,0.6285714285714286
57,0.5,0.44285714285714284,1.0,0.6142857142857143,0.5857142857142857,0.5,0.6285714285714286
58,0.5,0.45714285714285713,1.0,0.6142857142857143,0.5285714285714286,0.5142857142857142,0.6142857142857143
59,0.42857142857142855,0.45714285714285713,1.0,0.6,0.5285714285714286,0.45714285714285713,0.6
60,0.45714285714285713,0.42857142857142855,1.0,0.6,0.5285714285714286,0.4714285714285714,0.6142857142857143
61,0.5,0.4142857142857143,1.0,0.5857142857142857,0.45714285714285713,0.5,0.6
62,0.4714285714285714,0.45714285714285713,1.0,0.6142857142857143,0.5714285714285714,0.5,0.6714285714285714
63,0.4714285714285714,0.4,1.0,0.5714285714285714,0.5571428571428572,0.5,0.6142857142857143
64,0.5,0.5,1.0,0.5714285714285714,0.5428571428571428,0.5142857142857142,0.6
65,0.5,0.47857142857142854,1.0,0.5571428571428572,0.4928571428571429,0.5,0.5857142857142857
66,0.5,0.44285714285714284,1.0,0.6,0.5571428571428572,0.5142857142857142,0.6285714285714286
67,0.45714285714285713,0.4,1.0,0.6,0.4714285714285714,0.45714285714285713,0.6
68,0.5,0.4142857142857143,1.0,0.5857142857142857,0.4142857142857143,0.5285714285714286,0.6
69,0.42857142857142855,0.44285714285714284,1.0,0.5571428571428572,0.5285714285714286,0.4857142857142857,0.6
70,0.5,0.4142857142857143,1.0,0.5928571428571429,0.47857142857142854,0.4857142857142857,0.6
71,0.5,0.42857142857142855,1.0,0.5714285714285714,0.5,0.4714285714285714,0.5857142857142857
72,0.4857142857142857,0.4,1.0,0.5714285714285714,0.5285714285714286,0.4714285714285714,0.6142857142857143
73,0.4857142857142857,0.4,1.0,0.6,0.4357142857142857,0.5,0.6142857142857143
74,0.5142857142857142,0.4,1.0,0.5857142857142857,0.5285714285714286,0.5142857142857142,0.6142857142857143
75,0.4857142857142857,0.4,1.0,0.5714285714285714,0.38571428571428573,0.5,0.6142857142857143
76,0.5285714285714286,0.4142857142857143,1.0,0.5714285714285714,0.5285714285714286,0.5285714285714286,0.6142857142857143
77,0.5,0.4,1.0,0.5857142857142857,0.4142857142857143,0.5285714285714286,0.6
78,0.44285714285714284,0.4142857142857143,1.0,0.5857142857142857,0.38571428571428573,0.44285714285714284,0.6
79,0.45714285714285713,0.5571428571428572,1.0,0.6142857142857143,0.5428571428571428,0.4857142857142857,0.6285714285714286
80,0.4857142857142857,0.4,1.0,0.5714285714285714,0.4857142857142857,0.5142857142857142,0.6
81,0.4714285714285714,0.4,1.0,0.5428571428571428,0.4,0.4857142857142857,0.5857142857142857
82,0.5,0.4,1.0,0.5857142857142857,0.5428571428571428,0.5,0.6
83,0.4714285714285714,0.4142857142857143,1.0,0.5714285714285714,0.5142857142857142,0.5,0.6
84,0.44285714285714284,0.4,1.0,0.6142857142857143,0.5285714285714286,0.4714285714285714,0.6142857142857143
85,0.4714285714285714,0.4,1.0,0.5428571428571428,0.5142857142857142,0.4857142857142857,0.5857142857142857
86,0.45714285714285713,0.4142857142857143,1.0,0.6,0.5142857142857142,0.4857142857142857,0.6142857142857143
87,0.42857142857142855,0.4142857142857143,1.0,0.5428571428571428,0.4,0.4714285714285714,0.6
88,0.4714285714285714,0.45714285714285713,1.0,0.5714285714285714,0.5428571428571428,0.5,0.6
89,0.45714285714285713,0.4142857142857143,1.0,0.5857142857142857,0.5214285714285714,0.5,0.6285714285714286
90,0.45714285714285713,0.4142857142857143,1.0,0.5857142857142857,0.45714285714285713,0.4714285714285714,0.6
91,0.44285714285714284,0.4142857142857143,1.0,0.6,0.42857142857142855,0.45714285714285713,0.6
92,0.42857142857142855,0.4,1.0,0.6,0.5142857142857142,0.4857142857142857,0.6142857142857143
93,0.44285714285714284,0.4,1.0,0.5428571428571428,0.5,0.4857142857142857,0.5857142857142857
94,0.45714285714285713,0.4,1.0,0.5571428571428572,0.4714285714285714,0.4714285714285714,0.5857142857142857
95,0.44285714285714284,0.4,1.0,0.6,0.4857142857142857,0.4857142857142857,0.6
96,0.38571428571428573,0.4142857142857143,1.0,0.5714285714285714,0.5142857142857142,0.44285714285714284,0.6
97,0.5,0.42857142857142855,1.0,0.55,0.5571428571428572,0.5142857142857142,0.5714285714285714
98,0.44285714285714284,0.4,1.0,0.5428571428571428,0.42857142857142855,0.4714285714285714,0.5857142857142857
99,0.4857142857142857,0.4,1.0,0.5571428571428572,0.5142857142857142,0.5,0.5857142857142857
